"授業名","担当教員","副担当","登録コード","講義期間","曜日・時限","単位数","講義室","対象学生"
"材料強度学(16T以降)","牛　立斌","NULL","T4053400","後期","木曜･２時限","2","工W2-501教室","機械システム工学科3年生"
"振動解析(20T以降)","辺見　信彦 他","亀山　正樹","T4055400","後期","木曜･２時限","2","工C3-203教室","機械システム工学科3年生"
"塑性力学(16T以降)","松中　大介","NULL","T4056300","後期","金曜･２時限","2","工W1-115教室","機械システム工学科3年生"
"固体力学基礎(20T以降)","西村　正臣","NULL","T4057300","前期","木曜･２時限","2","工C3-102教室","機械システム工学科３年生"
"熱流体シミュレーション工学(20T以降)","吉野　正人 他","吉田　尚史","T4059300","後期","金曜･２時限","2","工C3-300教室","機械システム工学科３年生"
"ターボ機械(20T以降)","飯尾　昭一郎","NULL","T4061300","後期","水曜･２時限","2","工C3-101教室","機械システム工学科3年生"
"伝熱工学(16T以降)","淺岡　龍徳","NULL","T4062300","後期","木曜･１時限","2","工C3-301教室","機械システム工学科３年生"
"ロボット工学(16T以降)","酒井　悟","NULL","T4063300","後期","水曜･３時限","2","工C3-301教室","NULL"
"人工知能(20T以降)","千田　有一","髙瀨　裕","T4066300","前期","木曜･１時限","2","工C3-103教室","機械システム工学科３年生"
"学外特別講義Ⅰ(16T以降)","吉田　尚史","鈴木　康祐","T4068200","通年(集中)","集中･不定期","2","NULL","機械システム工学科１～４年生"
"学外特別講義Ⅱ(16T以降)","吉田　尚史","鈴木　康祐","T4069200","通年(集中)","集中･不定期","2","NULL","機械システム工学科１～４年生"
"学外特別実習Ⅰ(16T以降)","吉田　尚史","鈴木　康祐","T4070200","通年(集中)","集中･不定期","1","NULL","機械システム工学科１～４年生"
"学外特別実習Ⅱ(16T以降)","吉田　尚史","鈴木　康祐","T4071200","通年(集中)","集中･不定期","1","NULL","機械システム工学科１～４年生"
"航空宇宙流体力学(20T以降)","鈴木　康祐","NULL","T4072300","後期","木曜･２時限","2","工C3-200教室","機械システム工学科３年生"
"実践的アルゴリズム(20T以降)","種村　昌也","髙瀨　裕","T4073300","前期","火曜･１時限","2","工W2-601教室","機械システム工学科3年生"
"機械システム工学先端講義（20T-21T）","吉田　尚史 他","榊　和彦 千田　有一 酒井　悟","T4074200","通年(集中)","集中･不定期","2","工C3-100教室","NULL"
"機械システム工学先端講義Ⅰ（22T-）","吉田　尚史","榊　和彦 千田　有一 酒井　悟","T4075200","通年(集中)","集中･不定期","2","工C3-100教室","NULL"
"機械システム工学先端講義Ⅱ（22T-）","吉田　尚史","榊　和彦 千田　有一 酒井　悟","T4075300","通年(集中)","集中･不定期","2","工C3-100教室","NULL"
