"授業名","担当教員","副担当","登録コード","講義期間","曜日・時限","単位数","講義室","対象学生"
"確率・統計(機械)(16T以降)","河邊　淳","大野　博道","T0054204","後期","水曜･３時限","2","工C3-103教室","機械システム工学科２～４年生"
"確率・統計(建築)(16T以降)","伊藤　昇 他","大野　博道","T0054205","後期","木曜･３時限","2","工C3-100教室","NULL"
"電磁気学(物化)(16T以降)","川原　琢也","NULL","T0055200","前期","月曜･４時限","2","工C3-102教室","NULL"
"電磁気学(機械)(16T以降)","澤田　圭司","NULL","T0055220","後期","火曜･３時限","2","工W2-101教室","NULL"
"解析力学(電情)(16T以降)","衣川　智弥","NULL","T0056200","後期","水曜･３時限","2","工W1-115教室","NULL"
"解析力学(水土・建築)(16T以降)","澤田　圭司","NULL","T0056201","前期","月曜･３時限","2","工W2-501教室","NULL"
"解析力学(機械)(16T以降)","澤田　圭司","NULL","T0056202","前期","水曜･２時限","2","工W2-501教室","NULL"
"物理学実験(A)(16T以降)","川原　琢也 他","衣川　智弥","T0057200","前期","木曜･４時限～５時限前半","1","工W4-共通実験室①","NULL"
"物理学実験(B)(16T以降)","川原　琢也 他","衣川　智弥","T0057201","後期","木曜･４時限～５時限前半","1","工W4-共通実験室①","NULL"
"生涯学習概論(16T以降)","荒井　英治郎","NULL","T0H01900","後期(集中)","集中･不定期","2","NULL","NULL"
"博物館概論(16T以降)","窪田　雅之","NULL","T0H02900","後期","火曜･５時限","2","人文第４講義室","NULL"
"博物館資料論(16T以降)","福島　正樹","NULL","T0H04900","前期(集中)","集中･不定期","2","NULL","1年～3年"
"博物館資料保存論(16T以降)","福島　正樹","NULL","T0H05900","後期(集中)","集中･不定期","2","NULL","1年～3年"
"博物館教育論(16T以降)","福島　正樹","田村　徳至","T0H07900","通年(集中)","集中･不定期 月曜･５時限","2","理学部第１講義室","NULL"
"博物館情報・メディア論(16T以降)","小山　茂喜 他","NULL","T0H08900","通年(集中)","集中･不定期","2","共通教育４３講義室","学部1年～4年"
"博物館実習Ⅰ(16T以降)","梅干野　成央","NULL","T0H09900","通年(集中)","集中･不定期","1","NULL","NULL"
"博物館実習Ⅱ(16T以降)","寺内　美紀子 他","NULL","T0H10900","通年(集中)","集中･不定期","1","NULL","学部４年生"
"博物館実習Ⅲ(16T以降)","寺内　美紀子 他","NULL","T0H11900","通年(集中)","集中･不定期","1","NULL","全学科４年生"
"生物学実験(16T以降)","水野　正浩 他","小松　寅雄","T0Q01900","前期(集中)","集中･不定期","1","工W2-403教室","学部2年生以上"
"地学実験(16T以降)","豊田　政史 他","河村　隆 竹内　健司 村松　寛之","T0Q02900","前期(集中)","集中･不定期","1","NULL","学部2～4年生"
"職業指導(16T以降)","上野　敏","NULL","T0Q03900","前期(集中)","集中･不定期","2","工W1-115教室","工学部2～4年生"
"数学科指導法Ⅰ(16T以降)","志津　千代子","NULL","T0Q05900","前期","火曜･２時限","2","工W1-215教室","電子情報システム工学科２年生"
"数学科指導法Ⅱ(16T以降)","志津　千代子","NULL","T0Q06900","後期","月曜･５時限","2","工W1-215教室","電子情報システム工学科２年生"
"数学科指導法演習Ⅰ(16T以降)","志津　千代子","NULL","T0Q07900","後期(前半)","火曜･５時限","1","工W1-215教室","電子情報システム工学科３年生"
"数学科指導法演習Ⅱ(16T以降)","志津　千代子","NULL","T0Q08900","後期(後半)","火曜･５時限","1","工W1-215教室","電子情報システム工学科３年生"
"数学科指導法Ⅲ(19T以降)","志津　千代子","NULL","T0Q09900","前期","水曜･３時限","2","工W1-215教室","電子情報システム工学科３年生"
"情報科指導法(16T以降)","畑　秀明 他","香山　瑞恵","T0Q10900","前期","金曜･１時限 金曜･２時限","4","工W1-215教室","電子情報システム工学科３年生"
"理科指導法Ⅰ(16T以降)","小松　寅雄","NULL","T0Q11900","前期","火曜･５時限","2","工W2-403教室","学部2年以上"
"理科指導法Ⅱ(16T以降)","桜井　達雄","NULL","T0Q12900","後期","月曜･４時限","2","工W2-403教室","学部２年生以上"
"理科指導法Ⅲ(19T以降)","桜井　達雄 他","小松　寅雄 桜井　達雄","T0Q13900","通年","月曜･５時限 木曜･５時限","4","工W2-403教室","学部3年以上"
"教育実習事前・事後指導(16T以降)","藤井　善章 他","NULL","T0Q14900","前期","月曜･４時限","1","工C3-100教室","NULL"
"中等基礎教育実習(16T以降)","藤井　善章 他","NULL","T0Q15900","通年(集中)","集中･不定期","4","NULL","NULL"
"高等学校教育実習(16T以降)","藤井　善章 他","NULL","T0Q16900","通年(集中)","集中･不定期","2","NULL","NULL"
"教職実践演習（中・高）(16T以降)","藤井　善章 他","NULL","T0Q17900","後期","水曜･５時限","2","工C3-100教室","NULL"
"物理学概論（24T以降）","川原　琢也","澤田　圭司","T0Q20900","後期(後半)","火曜･５時限","1","工C3-202教室","全学科、学部2-4年生"
"化学概論（24T以降）（物化）","錦織　広昌","NULL","T0Q21900","後期(集中)","集中･不定期","1","NULL","物質化学科1年生（教職課程）"
"化学概論（24T以降）（水土・機械）","錦織　広昌","NULL","T0Q21910","後期(前半)","火曜･５時限","1","工C3-202教室","水環境・土木工学科、機械システム工学科2年生（教職課程）"
"生物学概論（24T以降）","小松　寅雄","NULL","T0Q22900","後期","金曜･３時限","1","共通教育５３講義室","学部1年生"
"地学概論（24T以降）","桜井　達雄","NULL","T0Q23900","後期","火曜･３時限","1","共通教育５３講義室","NULL"
"物質化学ゼミナール","水野　正浩 他","萩尾　健史 清水　雅裕 山田　哲也","T1000110","前期","水曜･４時限","2","共通教育６１講義室","物質化学科１年生"
"物質化学入門(16T以降)","萩尾　健史 他","錦織　広昌 奥村　幸久 酒井　俊郎 是津　信行 樽田　誠一","T1003110","後期","水曜･３時限","2","共通教育６１講義室","物質化学科1年生"
"物理化学Ⅰ(16T以降)","錦織　広昌","NULL","T1004200","前期","火曜･２時限","2","工W2-101教室","物質化学科2年生"
"物理化学Ⅱ(16T以降)","酒井　俊郎","NULL","T1005200","後期","金曜･１時限","2","工W2-101教室","物質化学科２年生"
"有機化学Ⅰ(16T以降)","奥村　幸久","NULL","T1006200","前期","木曜･１時限","2","工W2-101教室","NULL"
"有機化学Ⅱ(16T以降)","戸田　泰徳","NULL","T1007200","後期","木曜･１時限","2","工C3-200教室","物質化学科２年生"
"無機化学Ⅰ(16T以降)","手嶋　勝弥","萩尾　健史","T1008200","前期","金曜･１時限","2","工C3-200教室","物質化学科２年生"
"無機化学Ⅱ(16T以降)","樽田　誠一","NULL","T1009200","後期","木曜･３時限","2","工W2-101教室","物質化学科2年生"
"分析化学(16T以降)","新井　進","林　文隆","T1010200","前期","火曜･１時限","2","工W2-101教室","物質化学科２年生"
"生物化学(16T以降)","野﨑　功一 他","NULL","T1011200","後期","月曜･２時限","2","工W2-101教室","学部２年生"
"化学工学(16T以降)","久富　隆史","NULL","T1012300","前期","月曜･３時限","2","工C3-100教室","工学部3年生"
"高分子化学(16T以降)","是津　信行","NULL","T1013300","前期","木曜･５時限","2","工W2-101教室","物質化学科３年生"
"コンピュータ化学演習(16T以降)","山田　哲也 他","岡田　友彦 向田　志保","T1014200","前期","水曜･２時限","1","工W2-101教室","物質化学科２年生"
"機器分析(16T以降)","林　文隆","NULL","T1015300","前期","木曜･３時限","2","工C3-300教室","NULL"
"物理化学実験(A)(16T以降)","影島　洋介 他","錦織　広昌 酒井　俊郎 田中　伸明","T1016200","後期(後半)","火曜･３時限～４時限前半 金曜･３時限～４時限前半","1","工W5-21教室","物質化学科2年生"
"物理化学実験(B)(16T以降)","影島　洋介 他","錦織　広昌 酒井　俊郎 田中　伸明","T1016201","後期(前半)","火曜･３時限～４時限前半 金曜･３時限～４時限前半","1","工W5-21教室","物質化学科2年生"
"物理化学演習(16T以降)","錦織　広昌 他","NULL","T1017200","前期","木曜･３時限","1","工C3-200教室","物質化学科2年生"
"有機化学実験(A)(16T以降)","奥村　幸久 他","戸田　泰徳 佐伯　大輔","T1018300","前期(前半)","火曜･３時限 火曜･４時限 金曜･３時限 金曜･４時限","1","工W2-401実験室","物質化学科３年生"
"有機化学実験(B)(16T以降)","奥村　幸久 他","戸田　泰徳 佐伯　大輔","T1018310","前期(後半)","火曜･３時限 火曜･４時限 金曜･３時限 金曜･４時限","1","工W2-401実験室","物質化学科３年生"
"有機化学演習(16T以降)","戸田　泰徳","NULL","T1019300","前期","月曜･２時限","1","工C3-200教室","物質化学科３年生"
"無機化学実験(A)(16T以降)","山田　哲也 他","山口　朋浩 田中　秀樹","T1020200","後期(前半)","火曜･３時限～４時限前半 金曜･３時限～４時限前半","1","工W2-401実験室","物質化学科２年生"
"無機化学実験(B)(16T以降)","山田　哲也 他","山口　朋浩 田中　秀樹","T1020201","後期(後半)","火曜･３時限～４時限前半 金曜･３時限～４時限前半","1","工W2-401実験室","物質化学科２年生"
"無機化学演習(16T以降)","樽田　誠一 他","山口　朋浩 手嶋　勝弥 是津　信行 萩尾　健史","T1021300","前期","木曜･２時限","1","工C3-301教室","物質化学科3年生"
"分析化学実験(A)(16T以降)","清水　雅裕 他","新井　進 林　文隆","T1022200","前期","火曜･３時限～４時限前半","1","工W8-107実験室","NULL"
"分析化学実験(B)(16T以降)","清水　雅裕 他","新井　進 林　文隆","T1022201","前期","金曜･３時限～４時限前半","1","工W8-107実験室","NULL"
"分析化学演習(16T以降)","林　文隆 他","新井　進","T1023200","前期","金曜･２時限","1","工W2-101教室","NULL"
"生物化学実験(A)(16T以降)","水野　正浩 他","野﨑　功一","T1024300","前期(後半)","火曜･３時限 火曜･４時限 金曜･３時限 金曜･４時限","1","工W7-306実験室","NULL"
"生物化学実験(B)(16T以降)","水野　正浩 他","野﨑　功一","T1024310","前期(前半)","火曜･３時限 火曜･４時限 金曜･３時限 金曜･４時限","1","工W2-401実験室","NULL"
"生物化学演習(16T以降)","野﨑　功一 他","NULL","T1025200","後期","木曜･２時限","1","工W2-101教室","学部２年生"
"化学工学演習(16T以降)","久富　隆史","NULL","T1026300","前期","木曜･４時限","1","工C3-200教室","工学部3年生"
"物質化学演習(16T以降)","岡田　友彦 他","酒井　俊郎","T1027400","通年(集中)","集中･不定期","2","NULL","物質化学科　学部４年生"
"プレゼンテーション演習(16T以降)","岡田　友彦 他","酒井　俊郎","T1028400","通年(集中)","集中･不定期","2","NULL","物質化学科　学部４年生"
"卒業研究(物化)(16T以降)","岡田　友彦 他","酒井　俊郎","T1029400","通年","集中･不定期","10","NULL","物質化学科　学部４年生"
"化学英語(16T以降)","錦織　広昌","NULL","T1031300","前期","集中･不定期","2","NULL","物質化学科3年生（21T以前）"
"統計熱力学(16T以降)","澤田　圭司","NULL","T1034200","後期","金曜･２時限","2","工C3-301教室","NULL"
"学外特別講義Ⅰ(16T以降)","影島　洋介","水野　正浩","T1035200","通年(集中)","集中･不定期","2","NULL","物質化学科1～4年生"
"学外特別講義Ⅱ(16T以降)","影島　洋介","水野　正浩","T1036200","通年(集中)","集中･不定期","2","NULL","物質化学科1～4年生"
"学外特別実習(16T以降)","影島　洋介","水野　正浩","T1037200","通年(集中)","集中･不定期","1","NULL","NULL"
"無機材料化学(16T以降)","山口　朋浩","NULL","T1A01300","前期","木曜･１時限","2","工C3-301教室","物質化学科３年生"
"電気化学(16T以降)","新井　進","NULL","T1A02300","後期","水曜･１時限","2","工C3-300教室","物質化学科３年生"
"無機材料物性(16T以降)","樽田　誠一 他","山口　朋浩","T1A03300","後期","月曜･１時限","2","工W2-101教室","物質化学科3年生"
"先進材料工学演習(16T以降)","是津　信行 他","新井　進 樽田　誠一 萩尾　健史 錦織　広昌 山口　朋浩","T1A04300","後期","木曜･４時限","1","工C3-103教室","NULL"
"量子化学(16T以降)","田中　秀樹","NULL","T1AB1300","前期","金曜･２時限","2","工W2-501教室","物質化学科3年生"
"光化学(16T以降)","錦織　広昌","NULL","T1AB2300","前期(集中)","集中･不定期","2","NULL","物質化学科3年生"
"コロイド・界面化学(16T以降)","酒井　俊郎","NULL","T1AB3300","前期","月曜･１時限","2","工C3-200教室","物質化学科３年生"
"触媒化学(16T以降)","岡田　友彦","NULL","T1AB4300","後期","金曜･２時限","2","工C3-103教室","NULL"
"有機立体化学(16T以降)","佐伯　大輔","NULL","T1B01300","前期","火曜･２時限","2","工C3-301教室","物質化学科３年生"
"有機構造解析(16T以降)","戸田　泰徳","NULL","T1B02300","後期","火曜･２時限","2","工C3-100教室","物質化学科３年生"
"有機合成化学(16T以降)","奥村　幸久","NULL","T1B03300","後期","木曜･２時限","2","工C3-202教室","物質化学科３年生"
"分子工学演習(16T以降)","酒井　俊郎 他","奥村　幸久 戸田　泰徳 田中　伸明 岡田　友彦 佐伯　大輔","T1B04300","後期","木曜･４時限","1","工C3-202教室","物質化学科３年生"
"分子生物学(16T以降)","水野　正浩","NULL","T1C01300","前期","金曜･１時限","2","工C3-301教室","NULL"
"遺伝子工学(16T以降)","野﨑　功一","NULL","T1C03300","前期","水曜･１時限","2","工C3-301教室","学部３年生"
"微生物工学(16T以降)","水野　正浩","NULL","T1C04300","後期","月曜･３時限","2","工C3-100教室","物質化学科３～４年生（22T以前）"
"反応工学(16T以降)","是津　信行","NULL","T1C05300","後期","火曜･１時限","2","工C3-100教室","NULL"
"生物化学工学(16T以降)","水野　正浩","NULL","T1C06300","後期","金曜･３時限","2","工C3-203教室","物質化学科３年生"
"酵素利用学(16T以降)","水野　正浩","NULL","T1C07300","後期","火曜･３時限","2","工C3-100教室","物質化学科３年生"
"バイオ・プロセス工学演習(16T以降)","水野　正浩 他","野﨑　功一","T1C08300","後期","木曜･４時限","1","工C3-203教室","NULL"
"電子情報システム工学ゼミナール","曽根原　誠","NULL","T2000110","前期","火曜･２時限","2","共通教育４２講義室","電子情報システム工学科1年生"
"基礎数学(16T以降)","田中　清","NULL","T2001110","前期","火曜･３時限","2","共通教育４２講義室","電子情報システム工学科１年生"
"基礎数学(16T以降)","田中　清","NULL","T2001111","前期","火曜･３時限","2","共通教育４３講義室","電子情報システム工学科１年生"
"電気物理(16T以降)","田代　晋久","NULL","T2002110","前期","火曜･４時限","2","共通教育４２講義室","電子情報システム工学科１年生"
"電気物理(16T以降)","田代　晋久","NULL","T2002111","前期","火曜･４時限","2","共通教育４３講義室","電子情報システム工学科１年生"
"基礎電気電子回路","曽根原　誠","NULL","T2003111","後期","水曜･５時限","2","共通教育２０講義室","電子情報システム工学科１年生のみ（担当教員より別途連絡があった電子情報システム工学科２年生以上も対象）"
"基礎電気電子回路（長野キャンパス）","曽根原　誠","NULL","T2003112","通年","集中･不定期","2","NULL","電子情報システム工学科２～４年生（担当教員より連絡を受けた者，またコード：T2003111の同授業科目の単位を修得した者は受講できない）"
"プログラミング言語Ⅰ(16T以降)","小林　一樹 他","小形　真平 佐藤　真平","T2004110","後期","月曜･３時限","2","共通教育２０講義室","電子情報システム工学科１年生"
"基礎論理回路(20T以降)","太子　敏則","NULL","T2005210","後期","火曜･５時限","2","共通教育２０講義室","電子情報システム工学科１年生"
"電子情報基礎実験(16T以降)","冨田　孝幸 他","橋本　佳男 佐藤　真平","T2006200","前期","水曜･３時限 水曜･４時限 水曜･５時限","2","工C3-200教室","NULL"
"電子情報基礎数学(16T-19T)","笹森　文仁 他","宮地　幸祐","T2007200","前期(集中)","集中･不定期","2","NULL","電子情報システム工学科学生（19T以前）"
"卒業研究(電情)(16T以降)","笹森　文仁 他","藤原　洋志 橋本　佳男","T2008400","通年","集中･不定期","10","NULL","電子情報システム工学科4年生"
"電子情報職業論(16T以降)","LIU XIAOXI 他","香山　瑞恵 岡野　浩三 和﨑　克己 小林　一樹","T2013300","前期","金曜･５時限","2","工W1-215教室","NULL"
"学外特別講義Ⅰ(16T以降)","曽根原　誠","小形　真平 番場　教子 畑　秀明","T2014200","通年(集中)","集中･不定期","2","NULL","電子情報システム工学科２～４年生"
"学外特別講義Ⅱ(16T以降)","曽根原　誠","小形　真平 番場　教子 畑　秀明","T2015200","通年(集中)","集中･不定期","2","NULL","電子情報システム工学科２～４年生"
"学外特別実習Ⅰ(16T以降)","曽根原　誠","小形　真平 番場　教子 畑　秀明","T2016200","通年(集中)","集中･不定期","2","NULL","電子情報システム工学科２～４年生"
"学外特別実習Ⅱ(16T以降)","曽根原　誠","小形　真平 番場　教子 畑　秀明","T2017200","通年(集中)","集中･不定期","2","NULL","電子情報システム工学科２～４年生"
"アルゴリズム基礎(16T-19T)","宮尾　秀俊","NULL","T2018200","前期","金曜･３時限 金曜･４時限","2","工C3-200教室","電子情報システム工学科2・3年生"
"アルゴリズム基礎(20T以降)","宮尾　秀俊","NULL","T2018209","前期","金曜･３時限 金曜･４時限","3","工C3-200教室","電子情報システム工学科2・3年生"
"情報数学(16T以降)","岡﨑　裕之","NULL","T2019200","後期","水曜･４時限","2","工C3-103教室","NULL"
"数理論理(16T以降)","和﨑　克己","NULL","T2020300","前期","火曜･１時限","2","工C3-103教室","電子情報システム工学科　３年生"
"画像処理(16T以降)","白井　啓一郎 他","北　直樹","T2021300","前期","月曜･２時限 火曜･３時限","3","工W1-215教室","電子情報システム工学科３年生（学部３～４年生）"
"情報セキュリティ(16T以降)","岡﨑　裕之 他","NULL","T2022300","後期","水曜･１時限","2","工W1-115教室","NULL"
"電子物性(16T以降)","橋本　佳男","NULL","T2023200","後期","火曜･３時限","2","工W1-215教室","電子情報システム工学科２年生"
"エレクトロニクス概論(16T以降)","伊東　栄次","NULL","T2024200","後期","月曜･３時限","2","工C3-301教室","主に電子情報システム工学科2年生、学部２－４年生"
"エネルギー工学概論(16T以降)","太子　敏則","NULL","T2025200","後期","木曜･５時限","2","工C3-101教室","電子情報システム工学科2～4年生"
"電気電子材料(16T以降)","橋本　佳男","NULL","T2026200","前期","月曜･２時限","2","工C3-101教室","電子情報システム工学科３年生"
"半導体工学Ⅰ(16T以降)","太子　敏則","NULL","T2027200","前期","火曜･３時限","2","工C3-100教室","電子情報システム工学科３年生"
"自動制御(16T以降)","田代　晋久","NULL","T2028300","前期","月曜･５時限","2","工C3-301教室","電子情報システム工学科３年生"
"電気機器Ⅰ(16T以降)","佐藤　光秀","NULL","T2029300","前期","火曜･２時限","2","工C3-100教室","電子情報システム工学科3年生"
"半導体工学Ⅱ(16T以降)","伊東　栄次","NULL","T2030300","後期","水曜･２時限","2","工W1-215教室","主に、電子情報システム工学科学部３，4年生"
"電力工学Ⅰ(16T以降)","山本　明旦定","NULL","T2031300","前期","水曜･２時限","2","工W5-23教室","電子情報システム工学科３～４年次"
"誘電体・磁性体工学(16T以降)","伊東　栄次 他","LIU XIAOXI","T2032300","後期","火曜･３時限","2","工C3-102教室","主に電子情報システム工学科 3~4年生"
"電気法規","塚田　竜也 他","曽根原　誠","T2033300","前期","水曜･５時限","2","工C3-101教室","電子情報システム工学科電気電子プログラム４年生のみ"
"電磁波工学(16T以降)","田久　修","NULL","T2035300","後期","月曜･３時限","2","工C3-300教室","電子情報システム工学科３年生"
"電気電子計測(16T以降)","橋本　佳男","NULL","T2036300","後期","月曜･２時限","2","工C3-103教室","電子情報システム工学科３年生"
"電気機器Ⅱ(16T以降)","佐藤　光秀","NULL","T2037300","後期","月曜･４時限","2","工C3-300教室","電子情報システム工学科　学部３～４年生"
"パワーエレクトロニクス(16T以降)","曽根原　誠","NULL","T2038300","後期","木曜･４時限","2","工C3-101教室","「電気回路Ⅰ」、「電気回路Ⅱ」、「電子回路」が修得済みあるいは履修中の学生のみ受講を認める"
"LSI工学(16T以降)","宮地　幸祐","NULL","T2039300","後期","火曜･４時限","2","工W1-215教室","NULL"
"電力工学Ⅱ(16T以降)","番場　教子","NULL","T2040300","後期","木曜･２時限","2","工W5-23教室","電子情報システム工学科３～４年生"
"電気電子設計製図(16T以降)","番場　教子","NULL","T2041400","前期","金曜･３時限 金曜･４時限","2","工C3-300教室","NULL"
"電波法規(16T以降)","笹森　文仁 他","NULL","T2042400","後期","木曜･４時限","2","工W1-115教室","電子情報システム工学科３年生"
"解析学(16T以降)","阿部　誠","NULL","T2043200","後期","月曜･１時限","2","工C3-100教室","電子情報システム工学科３年生"
"待ち行列理論(16T以降)","西新　幹彦","NULL","T2044300","後期","月曜･４時限","2","工C3-200教室","電子情報システム工学科3年生"
"符号理論(16T以降)","柴田　凌 他","NULL","T2046300","後期","木曜･５時限","2","工C3-100教室","電子情報システム工学科３年生"
"最適化(16T以降)","AGUIRRE DURAN HERNAN EDUARDO","NULL","T2047300","後期","火曜･１時限 火曜･２時限","3","工W1-115教室","NULL"
"数理決定論(16T以降)","田久　修","NULL","T2048400","前期","水曜･３時限","2","工E3-603コミュニティ","電子情報システム工学科４年生"
"インテリジェントシステム(16T以降)","宮尾　秀俊","NULL","T2050200","前期","月曜･１時限","2","工C3-102教室","電子情報システム工学科3年生"
"形式的システムモデリング(16T以降)","香山　瑞恵","和﨑　克己","T2051200","後期","火曜･２時限","2","工C3-200教室","電子情報システム工学科　２年生"
"オートマトンと言語理論(16T以降)","岡野　浩三","大内　克久","T2052200","後期","火曜･３時限 木曜･５時限","3","工C3-300教室","NULL"
"プログラミング言語論(16T以降)","藤原　洋志","NULL","T2053300","前期","水曜･４時限 金曜･１時限","3","工W2-101教室","電子情報システム工学科3年生"
"応用プログラミング言語(16T以降)","藤原　洋志","NULL","T2054300","前期","月曜･１時限 火曜･４時限","3","工C3-301教室","電子情報システム工学科3年生"
"分散コンピューティング(16T以降)","和﨑　克己","NULL","T2055300","前期","木曜･１時限 木曜･２時限","3","工W1-115教室","電子情報システム工学科　３年生"
"ヒューマンコンピュータインタラクション(16T以降)","小林　一樹","NULL","T2056300","後期","木曜･３時限 木曜･４時限","3","工W1-215教室","電子情報システム工学科・情報システムプログラム・3年生"
"コンパイラ(16T以降)","岡野　浩三","大内　克久","T2057300","後期","火曜･１時限 火曜･２時限","3","工W1-215教室","NULL"
"ソフトウェア工学(16T以降)","岡野　浩三 他","小形　真平","T2058300","後期","金曜･３時限 金曜･４時限","3","工W1-215教室","NULL"
"データベース(16T以降)","畑　秀明","NULL","T2059300","後期","木曜･１時限 木曜･２時限","3","工W1-215教室","電子情報システム工学科３年生"
"メディアプログラミング(16T以降)","香山　瑞恵","北　直樹","T2060300","後期","金曜･２時限","2","工W1-314プロジェクト実験室1","電子情報システム工学科 情報システムプログラム 3年生"
"組込システムⅡ(16T以降)","ASANO DAVID KEN","NULL","T2061300","後期","火曜･３時限 火曜･４時限","3","工W1-115教室","電子情報システム工学科３年生"
"コンピュータ・デバイス(16T以降)","LIU XIAOXI","NULL","T2063300","後期","月曜･１時限 木曜･５時限","3","工W1-215教室","NULL"
"データマイニング(16T以降)","阿部　誠","NULL","T2065400","後期","金曜･１時限","2","工W1-115教室","電子情報システム工学科３年生"
"電気磁気学Ⅰ(16T以降)","浦上　法之 他","佐藤　光秀 大原　正裕","T2A01200","後期","木曜･４時限 金曜･４時限","3","工C3-200教室","電子情報システム工学科2,3年生"
"電気磁気学Ⅱ(16T以降)","佐藤　光秀 他","LIU XIAOXI LEE SOOBEOM","T2A02200","前期","火曜･４時限 木曜･１時限","3","工C3-103教室 工W1-215教室","電子情報システム工学科　学部３～４年生"
"電気回路Ⅰ(16T以降)","番場　教子 他","浦上　法之","T2A03200","前期","火曜･１時限 水曜･１時限","3","工C3-200教室","電子情報システム工学科２～４年生"
"電気回路Ⅱ(16T以降)","山本　明旦定 他","NULL","T2A04200","後期","火曜･１時限 火曜･２時限","3","工C3-101教室","電子情報システム工学科２～４年次"
"電子回路(20T以降)","宮地　幸祐","NULL","T2A05200","前期","水曜･５時限 金曜･２時限","3","工C3-102教室 工C3-101教室","NULL"
"電気電子実験Ⅰ(16T以降)","浦上　法之","伊東　栄次 冨田　孝幸 曽根原　誠 番場　教子 宮地　幸祐","T2A07300","前期","木曜･３時限 木曜･４時限 木曜･５時限","2","工W2-302実験室","電子情報システム工学科，3年生"
"電子情報システム特別講義(20T以降)","曽根原　誠","笹森　文仁","T2A08300","後期","金曜･５時限","2","工W2-101教室","電子情報システム工学科３年生のみ（担当教員より別途連絡があった電子情報システム工学科４年生以上も対象）"
"電気電子実験Ⅱ(16T以降)","山本　明旦定","LIU XIAOXI 大原　正裕 LEE SOOBEOM 佐藤　光秀 田代　晋久","T2A09300","後期","水曜･３時限 水曜･４時限 水曜･５時限","2","工W5-23教室","電子情報システム工学科3年次"
"通信工学(16T以降)","ASANO DAVID KEN","NULL","T2B01200","後期","水曜･２時限","2","工C3-301教室","電子情報システム工学科２年生"
"通信システム実験Ⅰ(20T以降)","柴田　凌","田久　修","T2B05300","前期","木曜･３時限 木曜･４時限 木曜･５時限","2","工C3-301教室","電子情報システム工学科 通信プログラム３年生"
"情報理論(16T以降)","西新　幹彦","NULL","T2B06300","前期","水曜･１時限","2","工W2-101教室","電子情報システム工学科3年生"
"通信システム実験Ⅱ(20T以降)","田久　修","NULL","T2B07300","後期","水曜･３時限 水曜･４時限 水曜･５時限","2","工W2-301実験室","電子情報システム工学科３年生"
"ディジタル通信システム(16T-19T)","笹森　文仁","NULL","T2B08200","前期","月曜･１時限 月曜･２時限","2","工W2-101教室","電子情報システム工学科２年生"
"ディジタル通信システム(20T以降)","笹森　文仁","NULL","T2B08209","前期","月曜･１時限 月曜･２時限","3","工W2-101教室","電子情報システム工学科２年生"
"数値計算(16T以降)","AGUIRRE DURAN HERNAN EDUARDO","NULL","T2B09300","前期","月曜･４時限 月曜･５時限","3","工W1-215教室","NULL"
"プログラミング言語Ⅱ(16T以降)","小形　真平 他","畑　秀明","T2BC1200","後期","金曜･１時限 金曜･２時限","3","工C3-200教室","電子情報システム工学科２年生"
"信号処理(16T以降)","白井　啓一郎","NULL","T2BC2200","後期","木曜･１時限","2","工W2-101教室","電子情報システム工学科２年生（学部２～４年生）"
"コンピュータアーキテクチャ(16T以降)","橋本　昌巳","NULL","T2C01200","後期","月曜･２時限","2","工C3-102教室","電子情報システム工学科2年生"
"アルゴリズムとデータ構造(16T以降)","宮尾　秀俊","NULL","T2C02200","後期","金曜･３時限","2","工W2-101教室","電子情報システム工学科2年生"
"論理回路設計(16T以降)","上口　光 他","NULL","T2C03200","後期","火曜･４時限 火曜･５時限","3","工C3-301教室","NULL"
"コンピュータネットワーク(16T以降)","田久　修","NULL","T2C04300","前期","月曜･３時限","2","工C3-200教室","NULL"
"オペレーティングシステム(16T以降)","岡野　浩三","NULL","T2C05300","前期","火曜･２時限 水曜･２時限","3","工W1-115教室","NULL"
"組込システムⅠ(16T以降)","橋本　昌巳","NULL","T2C06300","前期","金曜･３時限 金曜･４時限","3","工C3-301教室","電子情報システム工学科3年生"
"情報システム実験Ⅰ(20T以降)","佐藤　真平","岡﨑　裕之 冨田　孝幸","T2C07300","前期","木曜･３時限 木曜･４時限 木曜･５時限","2","工C3-301教室","電子情報システム工学科３年生"
"情報システム実験Ⅱ(20T以降)","橋本　昌巳","NULL","T2C08300","後期","水曜･３時限 水曜･４時限 水曜･５時限","2","工C3-200教室","電子情報システム工学科3年生"
"水環境・土木工学ゼミナール","河村　隆 他","林　卓哉 竹内　健司 村松　寛之 梅崎　健夫 清野　竜太郎","T3000111","前期","水曜･４時限","2","共通教育５１講義室","水環境・土木工学科１年生"
"水環境・土木工学基礎(16T以降)","清野　竜太郎 他","林　卓哉 竹内　健司 村松　寛之 梅崎　健夫 豊田　政史","T3001110","後期","火曜･４時限","2","共通教育６２講義室","水環境・土木工学科1年生"
"基礎水理学(16T以降)","吉谷　純一","小松　一弘","T3002200","前期","木曜･２時限","2","工W2-101教室","NULL"
"基礎水理学演習(16T以降)","小松　一弘","吉谷　純一","T3003200","前期","金曜･４時限","1","工C3-101教室","NULL"
"応用水理学(16T以降)","豊田　政史","NULL","T3004200","後期","金曜･１時限","2","工C3-301教室","水環境・土木工学科2年生"
